gene,biotype
ycaC,protein_coding
ycaD,protein_coding
ycaM,protein_coding
ycaN,protein_coding
ycaK,protein_coding
pflA,protein_coding
pflB,protein_coding
focA,protein_coding
ycaO,protein_coding
ycaP,protein_coding
serC,protein_coding
aroA,protein_coding
ycaL,protein_coding
cmk,protein_coding
rpsA,protein_coding
ihfB,protein_coding
ycaI,protein_coding
msbA,protein_coding
lpxK,protein_coding
ycaQ,protein_coding
ycaR,protein_coding
kdsB,protein_coding
ycbJ,protein_coding
elyC,protein_coding
cmoM,protein_coding
mukF,protein_coding
mukE,protein_coding
mukB,protein_coding
ldtD,protein_coding
mepK,protein_coding
gloC,protein_coding
aspC,protein_coding
ompF,protein_coding
asnS,protein_coding
pncB,protein_coding
pepN,protein_coding
ssuB,protein_coding
ssuC,protein_coding
ssuD,protein_coding
ssuA,protein_coding
ssuE,protein_coding
elfA,protein_coding
elfD,protein_coding
elfC,protein_coding
elfG,protein_coding
ycbU,protein_coding
ycbV,protein_coding
ycbF,protein_coding
pyrD,protein_coding
zapC,protein_coding
ycbX,protein_coding
rlmL,protein_coding
uup,protein_coding
pqiA,protein_coding
pqiB,protein_coding
pqiC,protein_coding
rmf,protein_coding
fabA,protein_coding
ycbZ,protein_coding
matP,protein_coding
ompA,protein_coding
sulA,protein_coding
sxy,protein_coding
yccS,protein_coding
yccF,protein_coding
helD,protein_coding
mgsA,protein_coding
yccT,protein_coding
yccU,protein_coding
hspQ,protein_coding
rlmI,protein_coding
yccX,protein_coding
tusE,protein_coding
yccA,protein_coding
serT,tRNA
hyaA,protein_coding
hyaB,protein_coding
hyaC,protein_coding
hyaD,protein_coding
hyaE,protein_coding
hyaF,protein_coding
appC,protein_coding
appB,protein_coding
appX,protein_coding
appA,protein_coding
etk,protein_coding
etp,protein_coding
gfcE,protein_coding
gfcD,protein_coding
gfcC,protein_coding
gfcB,protein_coding
gfcA,protein_coding
insA4,protein_coding
insB4,protein_coding
cspH,protein_coding
cspG,protein_coding
ymcF,protein_coding
ymcE,protein_coding
gnsA,protein_coding
yccM,protein_coding
torS,protein_coding
torT,protein_coding
torR,protein_coding
torC,protein_coding
torA,protein_coding
torD,protein_coding
cbpM,protein_coding
cbpA,protein_coding
yccE,protein_coding
agp,protein_coding
yccJ,protein_coding
wrbA,protein_coding
ymdF,protein_coding
rutG,protein_coding
rutF,protein_coding
rutE,protein_coding
rutD,protein_coding
rutC,protein_coding
rutB,protein_coding
rutA,protein_coding
rutR,protein_coding
putA,protein_coding
ymdG,protein_coding
putP,protein_coding
efeU,pseudogene
efeO,protein_coding
efeB,protein_coding
phoH,protein_coding
pgaD,protein_coding
pgaC,protein_coding
pgaB,protein_coding
pgaA,protein_coding
dgcT,protein_coding
insF4,protein_coding
insE4,protein_coding
ymdE,pseudogene
ycdU,protein_coding
serX,tRNA
ghrA,protein_coding
ycdX,protein_coding
ycdY,protein_coding
ycdZ,protein_coding
csgG,protein_coding
csgF,protein_coding
csgE,protein_coding
csgD,protein_coding
csgB,protein_coding
csgA,protein_coding
csgC,protein_coding
ymdA,protein_coding
ymdB,protein_coding
clsC,protein_coding
opgC,protein_coding
opgG,protein_coding
opgH,protein_coding
yceK,protein_coding
msyB,protein_coding
mdtG,protein_coding
lpxL,protein_coding
trhO,protein_coding
yceI,protein_coding
yceJ,protein_coding
yceO,protein_coding
solA,protein_coding
bssS,protein_coding
dinI,protein_coding
pyrC,protein_coding
yceB,protein_coding
grxB,protein_coding
mdtH,protein_coding
