,0
cusA,"ECK0567,ybdE"
pheP,ECK0568
ybdG,ECK0569
nfsB,"dprA,ECK0570,nfnB,ntr"
ybdF,ECK0571
ybdJ,ECK0572
ybdK,ECK0573
sokE,ECK4512
hokE,"ECK0574,ybdY"
insL2,"ECK0016,yi81-2"
entD,ECK0575
fepA,"cbr,cbt,ECK0576,fep,feuB"
fes,ECK0577
ybdZ,ECK0578
entF,ECK0579
fepE,ECK0580
fepC,ECK0581
fepG,ECK0582
fepD,ECK0583
entS,"ECK0584,ybdA"
fepB,ECK0585
entC,"ECK0586,fepF"
entE,ECK0587
entB,"ECK0588,entG"
entA,ECK0589
entH,"ECK0590,ybdB"
cstA,"ECK0591,ybdC"
ybdD,ECK0592
hcxA,"ECK0593,ybdH"
ybdL,ECK0594
ybdM,ECK0595
ybdN,ECK0596
ybdO,ECK0597
dsbG,"ECK0598,ybdP"
ahpC,"ECK0599,ssi8,tpx"
ahpF,ECK0600
uspG,"ECK0601,UP12,ybdQ,yzzU"
ybdR,ECK0602
yldA,ECK4591
rnk,ECK0603
rna,"ECK0604,rnsA"
citT,"ECK0605,ybdS"
citG,"ECK0606,ybdT"
citX,"ECK0607,ybdU"
citF,"ECK0608,ybdV"
citE,"ECK0609,ybdW"
citD,"ECK0610,ybdX"
citC,"ECK0611,ybeO"
dpiB,"citA,ECK0612,mpdB,ybeP"
dpiA,"citB,criR,ECK0613,mpdA"
dcuC,ECK0614
pagP,"crcA,ECK0615,ybeG"
cspE,"ECK0616,gicA,msmC"
crcB,"ECK0617,ybeI"
ybeM,"b0625,b0626,ECK0618,ECK0619,ybeH"
tatE,"ECK0620,ybeC"
lipA,"ECK0621,lip"
ybeF,ECK0622
lipB,"cde,ECK0623,lip"
ybeD,ECK0624
dacA,"ECK0625,pfv"
rlpA,ECK0626
mrdB,"ECK0627,rodA"
mrdA,"ECK0628,pbpA"
rlmH,"ECK0629,ybeA"
rsfS,"ECK0630,rsfA,ybeB"
cobC,"ECK0631,phpB"
nadD,"ECK0632,fusB,ybeN"
holA,ECK0633
lptE,"ECK0634,rlpB"
leuS,"ECK0635,syl"
ybeL,ECK0636
ybeQ,ECK0637
ybeR,ECK0638
djlB,"ECK0639,ybeS"
ybeT,ECK0640
ybeU,ECK0641
djlC,"ECK0642,hsc56,hscD,ybeV"
hscC,"ECK0643,ybeW"
rihA,"ECK0644,ybeK"
gltL,ECK0645
gltK,ECK0646
gltJ,ECK0647
sroC,"ECK4620,HB_314"
gltI,"ECK0648,ybeJ,yzzK"
insH3,"ECK0261,trs5-3,yi52_3"
lnt,"cutE,ECK0649"
ybeX,ECK0650
ybeY,ECK0651
ybeZ,"ECK0652,phoL"
miaB,"ECK0653,yleA"
ubiF,"ECK0654,yleB"
glnX,"ECK0655,glnV-beta,glnVbeta,supE"
glnV,"ECK0656,glnValpha,Su2,suII,supE"
metU,"ECK0657,metT-beta,metTbeta"
glnW,"ECK0658,glnU-beta,glnUbeta"
glnU,"ECK0659,glnUalpha,supB,trnA"
leuW,"ECK0660,feeB"
metT,"ECK0661,metTalpha"
asnB,ECK0662
umpH,"ECK0663,nagD"
nagC,"ECK0664,nagR"
nagA,ECK0665
nagB,"ECK0666,glmD"
nagE,"ECK0667,pstN,ptsN"
glnS,ECK0668
chiP,"ECK0669,ybfM"
chiQ,"ECK0670,ybfN"
fur,ECK0671
uof,ECK4461
fldA,ECK0672
ybfE,ECK0673
ybfF,ECK0674
seqA,"ECK0675,hsm-1"
pgm,"blu,ECK0676"
ybfP,ECK0677
ybfG,"b0690,ECK0678,ECK0679,ybfH"
ybfI,ECK4436
potE,ECK0680
speF,ECK0681
speFL,ECK4660
kdpE,ECK0682
kdpD,"ECK0683,kac"
kdpC,"ECK0684,kac"
kdpB,"ECK0685,kac"
kdpA,"ECK0686,kac"
kdpF,ECK0687
ybfA,ECK0688
rhsC,ECK0689
ybfB,ECK0690
ybfO,ECK0691
ybfC,ECK0692
ybfQ,ECK0693
ybfL,ECK0694
ybfD,ECK0695
ybgA,"ECK0696,tkp"
phr,"ECK0697,phrB"
dtpD,"ECK0698,ybgH"
ybgI,ECK0699
