,gene,biotype,synonym
1745,lhr,protein_coding,"ECK1649,rhlF"
1746,grxD,protein_coding,"ECK1650,ydhD"
1747,mepH,protein_coding,"ECK1651,ydhO"
1748,sodB,protein_coding,ECK1652
1749,ydhP,protein_coding,ECK1653
1750,cydH,protein_coding,"ECK4411,ynhF"
1751,purR,protein_coding,ECK1654
1752,ydhB,protein_coding,ECK1655
1753,ydhC,protein_coding,ECK1656
1754,cfa,protein_coding,"cdfA,ECK1657"
1755,ribC,protein_coding,"ECK1658,ribE"
1756,mdtK,protein_coding,"ECK1659,norE,norM,ydhE"
1757,ydhQ,protein_coding,ECK1660
1758,valV,tRNA,ECK1661
1759,valW,tRNA,ECK1662
1760,ydhR,protein_coding,ECK1663
1761,ydhS,protein_coding,ECK1664
1762,ydhT,protein_coding,ECK1665
1763,ydhU,protein_coding,ECK1666
1764,ydhX,protein_coding,ECK1667
1765,ydhW,protein_coding,ECK1668
1766,ydhV,protein_coding,ECK1669
1767,ydhY,protein_coding,ECK1670
1768,fumD,protein_coding,"ECK1671,ydhZ"
1769,pykF,protein_coding,ECK1672
1770,lpp,protein_coding,"ECK1673,mlpA"
1771,ldtE,protein_coding,"ECK1674,ynhG"
1772,sufE,protein_coding,"ECK1675,ynhA"
1773,sufS,protein_coding,"csdB,ECK1676,ynhB"
1774,sufD,protein_coding,"ECK1677,ynhC"
1775,sufC,protein_coding,"ECK1678,ynhD"
1776,sufB,protein_coding,"ECK1679,ynhE"
1777,sufA,protein_coding,"ECK1680,ydiC"
1778,rydB,ncRNA,"ECK1681,IS082,tpe7"
1779,ydiH,protein_coding,ECK1682
1780,menI,protein_coding,"ECK1683,ydiI"
1781,ydiJ,protein_coding,ECK1684
1782,ydiK,protein_coding,ECK1685
1783,rprA,ncRNA,"ECK1686,IS083,psrA5"
1784,ydiL,protein_coding,ECK1687
1785,ydiM,protein_coding,ECK1688
1786,ydiN,protein_coding,ECK1689
1787,ydiB,protein_coding,ECK1690
1788,aroD,protein_coding,ECK1691
1789,ydiF,protein_coding,ECK1692
1790,ydiO,protein_coding,ECK1693
1791,ydiP,protein_coding,ECK1694
1792,ydiQ,protein_coding,ECK1695
1793,ydiR,protein_coding,ECK1696
1794,ydiS,protein_coding,ECK1697
1795,ydiT,protein_coding,ECK1698
1796,fadK,protein_coding,"ECK1699,ydiD"
1797,ppsA,protein_coding,"ECK1700,pps"
1798,ppsR,protein_coding,"ECK1701,ydiA"
1799,aroH,protein_coding,ECK1702
1800,ydiE,protein_coding,ECK1703
1801,ydiU,protein_coding,ECK1704
1802,rflP,protein_coding,"ECK1705,ydiV"
1803,nlpC,protein_coding,ECK1706
1804,btuD,protein_coding,ECK1707
1805,btuE,protein_coding,ECK1708
1806,btuC,protein_coding,ECK1709
1807,ihfA,protein_coding,"ECK1710,hid,himA"
1808,pheT,protein_coding,ECK1711
1809,pheS,protein_coding,"ECK1712,phe-act"
1810,pheM,protein_coding,"ECK1713,phtL"
1811,rplT,protein_coding,"ECK1714,pdzA"
1812,rpmI,protein_coding,ECK1715
1813,infC,protein_coding,"ECK1716,fit,srjA"
1814,thrS,protein_coding,ECK1717
1815,arpB,pseudogene,"b1720,b1721,ECK1718,ydiW,ydiX"
1816,yniD,protein_coding,ECK1719
1817,ydiY,protein_coding,ECK1720
1818,pfkB,protein_coding,ECK1721
1819,ydiZ,protein_coding,ECK1722
1820,yniA,protein_coding,ECK1723
1821,yniB,protein_coding,ECK1724
1822,hxpB,protein_coding,"ECK1725,yniC"
1823,ydjM,protein_coding,ECK1726
1824,tcyP,protein_coding,"ECK1727,ydjN"
1825,ydjO,protein_coding,ECK1728
1826,cedA,protein_coding,"ECK1729,ydjP"
1827,katE,protein_coding,ECK1730
1828,chbG,protein_coding,"celG,ECK1731,ydjC"
1829,chbF,protein_coding,"celF,ECK1732,ydjD"
1830,chbR,protein_coding,"celD,ECK1733"
1831,chbA,protein_coding,"celC,ECK1734"
1832,chbC,protein_coding,"celB,ECK1735,hic"
1833,chbB,protein_coding,"celA,ECK1736"
1834,osmE,protein_coding,"anr,ECK1737"
1835,nadE,protein_coding,"ECK1738,efg,ntrL"
1836,cho,protein_coding,"ECK1739,ydjQ"
1837,ves,protein_coding,"ECK1740,ydjR"
1838,spy,protein_coding,ECK1741
1839,astE,protein_coding,"ECK1742,ydjS"
1840,astB,protein_coding,"ECK1743,ydjT"
1841,astD,protein_coding,"ECK1744,ydjU"
1842,astA,protein_coding,"ECK1745,ydjV"
1843,astC,protein_coding,"argM,cstC,ECK1746,ydjW"
1844,xthA,protein_coding,"ECK1747,xth"
1845,ydjX,protein_coding,ECK1748
1846,ydjY,protein_coding,ECK1749
1847,ydjZ,protein_coding,ECK1750
1848,ynjA,protein_coding,ECK1751
1849,ynjB,protein_coding,ECK1752
1850,ynjC,protein_coding,ECK1753
1851,ynjD,protein_coding,ECK1754
1852,ynjE,protein_coding,ECK1755
1853,ynjF,protein_coding,ECK1756
1854,nudG,protein_coding,"ECK1757,orf135,ynjG"
1855,ynjH,protein_coding,ECK1758
1856,gdhA,protein_coding,ECK1759
1857,ynjI,protein_coding,ECK1760
1858,topB,protein_coding,"ECK1761,mutR"
1859,selD,protein_coding,"ECK1762,fdhB"
1860,ydjA,protein_coding,ECK1763
1861,sppA,protein_coding,ECK1764
1862,ansA,protein_coding,ECK1765
1863,pncA,protein_coding,"ECK1766,nam,ydjB"
1864,ydjE,protein_coding,ECK1767
1865,ydjF,protein_coding,ECK1768
1866,ydjG,protein_coding,ECK1769
1867,ydjH,protein_coding,ECK1770
1868,ydjI,protein_coding,ECK1771
1869,ydjJ,protein_coding,ECK1772
1870,ydjK,protein_coding,ECK1773
1871,ydjL,protein_coding,ECK1774
1872,yeaC,protein_coding,ECK1775
1873,msrB,protein_coding,"ECK1776,yeaA"
1874,gapA,protein_coding,"ECK1777,gad,gap1"
1875,yeaD,protein_coding,"ECK1778,yzzQ"
1876,yeaE,protein_coding,ECK1779
1877,mipA,protein_coding,"ECK1780,yeaF"
1878,yeaG,protein_coding,ECK1781
1879,yeaH,protein_coding,ECK1782
1880,cdgI,protein_coding,"ECK1783,yeaI"
